bgwiki_title	category	state	impl_file	wiki_fetch	csid_check	start_npc_file	wiki_url
"Always more," Quoth the Ravenous	Adoulin Quests	implemented	scripts/quests/adoulin/Always_More_Quoth_the_Ravenous.lua		csids_ok		https://www.bg-wiki.com/ffxi/%22Always_more%2C%22_Quoth_the_Ravenous
20 in Pirate Years	Ninja Artifact Quests	implemented	scripts/zones/Norg/npcs/Ryoma.lua				https://www.bg-wiki.com/ffxi/20_in_Pirate_Years
A Barrel of Laughs	Adoulin Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Barrel_of_Laughs
A Beaked Blusterer	Abyssea - Altepa Quests	implemented	scripts/quests/abyssea/A_Beaked_Blusterer.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Beaked_Blusterer
A Bitter Past	Other Quests	implemented	scripts/quests/otherAreas/A_Bitter_Past.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Bitter_Past
A Boy's Dream	Northern San d'Oria Quests	implemented	scripts/zones/Chateau_dOraguille/npcs/_6h0.lua				https://www.bg-wiki.com/ffxi/A_Boy%27s_Dream
A Cait Calls	Crystal War Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Cait_Calls
A Candlelight Vigil	Jeuno Quests	implemented	scripts/quests/jeuno/A_Candlelight_Vigil.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Candlelight_Vigil
A Certain Substitute Patrolman	Adoulin Quests	implemented	scripts/quests/adoulin/A_Certain_Substitute_Patrolman.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Certain_Substitute_Patrolman
A Chocobo Riding Game (Bastok)	Bastok Quests	implemented	scripts/globals/chocobo_riding_game.lua				https://www.bg-wiki.com/ffxi/A_Chocobo_Riding_Game_%28Bastok%29
A Chocobo Riding Game (Kazham)	Kazham Quests	implemented	scripts/globals/chocobo_riding_game.lua				https://www.bg-wiki.com/ffxi/A_Chocobo_Riding_Game_%28Kazham%29
A Chocobo Riding Game (San d'Oria)	Repeatable Quests	implemented	scripts/globals/chocobo_riding_game.lua				https://www.bg-wiki.com/ffxi/A_Chocobo_Riding_Game_%28San_d%27Oria%29
A Chocobo Riding Game (Windurst)	Repeatable Quests	implemented	scripts/globals/chocobo_riding_game.lua				https://www.bg-wiki.com/ffxi/A_Chocobo_Riding_Game_%28Windurst%29
A Chocobo's Tale	Jeuno Quests	implemented	scripts/quests/jeuno/A_Chocobos_Tale.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Chocobo%27s_Tale
