log_area	enum_name	declared_id	client_id	client_title	bgwiki_title	impl_file	marker	verdict
sandoria	A_SENTRYS_PERIL	0	0	A Sentry's Peril	A Sentry's Peril	scripts/quests/sandoria/A_Sentrys_Peril.lua	+ Converted	CONFIRMED
sandoria	WATERS_OF_THE_CHEVAL	1	1	Waters of the Cheval	Waters of the Cheval	scripts/quests/sandoria/Waters_of_the_Cheval.lua	+ Converted	CONFIRMED
sandoria	ROSEL_THE_ARMORER	2	2	Rosel the Armorer	Rosel the Armorer	scripts/quests/sandoria/Rosel_the_Armorer.lua	+ Converted	CONFIRMED
sandoria	THE_PICKPOCKET	3	3	The Pickpocket	The Pickpocket	scripts/quests/sandoria/The_Pickpocket.lua	+ Converted	CONFIRMED
sandoria	FATHER_AND_SON	4	4	Father and Son	Father and Son	scripts/quests/sandoria/Father_and_Son.lua	+ Converted	CONFIRMED
sandoria	THE_SEAMSTRESS	5	5	The Seamstress	The Seamstress	scripts/quests/sandoria/The_Seamstress.lua	+ Converted	CONFIRMED
sandoria	THE_DISMAYED_CUSTOMER	6	6	The Dismayed Customer	The Dismayed Customer	scripts/quests/sandoria/The_Dismayed_Customer.lua	+ Converted	CONFIRMED
sandoria	THE_TRADER_IN_THE_FOREST	7	7	The Trader in the Forest	The Trader in the Forest	scripts/quests/sandoria/The_Trader_in_the_Forest.lua	+ Converted	CONFIRMED
sandoria	THE_SWEETEST_THINGS	8	8	The Sweetest Things	The Sweetest Things	scripts/quests/sandoria/The_Sweetest_Things.lua	+ Converted	CONFIRMED
sandoria	THE_VICASQUES_SERMON	9	9	The Vicasque's Sermon	The Vicasque's Sermon	scripts/quests/sandoria/The_Vicasques_Sermon.lua	+ Converted	CONFIRMED
sandoria	A_SQUIRES_TEST	10	10	A Squire's Test	A Squire's Test	scripts/quests/sandoria/A_Squires_Test.lua	+ Converted	CONFIRMED
sandoria	GRAVE_CONCERNS	11	11	Grave Concerns	Grave Concerns	scripts/quests/sandoria/Grave_Concerns.lua	+ Converted	CONFIRMED
sandoria	THE_BRUGAIRE_CONSORTIUM	12	12	The Brugaire Consortium	The Brugaire Consortium	scripts/quests/sandoria/The_Brugaire_Consortium.lua	+ Converted	CONFIRMED
sandoria	LIZARD_SKINS	15	15	Lizard Skins	Lizard Skins	scripts/quests/sandoria/Lizard_Skins.lua	+ Converted	CONFIRMED
sandoria	FLYERS_FOR_REGINE	16	16	Flyers for Regine	Flyers for Regine	scripts/quests/flyers_for_regine.lua	+	UNVERIFIED
sandoria	GATES_TO_PARADISE	18	18	Gates to Paradise	Gates to Paradise	scripts/zones/La_Theine_Plateau/npcs/Faurbellant.lua	+	UNVERIFIED
sandoria	A_SQUIRES_TEST_II	19	19	A Squire's Test II	A Squire's Test II	scripts/quests/sandoria/A_Squires_Test_II.lua	+ Converted	CONFIRMED
sandoria	TO_CURE_A_COUGH	20	20	To Cure a Cough	To Cure a Cough	scripts/zones/Davoi/npcs/qm1.lua	+	UNVERIFIED
sandoria	TIGERS_TEETH	23	23	Tiger's Teeth	Tiger's Teeth	scripts/quests/sandoria/Tigers_Teeth.lua	+ Converted	CONFIRMED
sandoria	UNDYING_FLAMES	26	26	Undying Flames	Undying Flames	scripts/quests/sandoria/Undying_Flames.lua	+ Converted	CONFIRMED
sandoria	A_PURCHASE_OF_ARMS	27	27	A Purchase of Arms	A Purchase of Arms	scripts/quests/sandoria/A_Purchase_of_Arms.lua	+ Converted	CONFIRMED
sandoria	A_KNIGHTS_TEST	29	29	A Knight's Test	A Knight's Test	scripts/quests/sandoria/A_Knights_Test.lua	+ Converted	CONFIRMED
sandoria	THE_MEDICINE_WOMAN	30	30	The Medicine Woman	The Medicine Woman	scripts/quests/sandoria/The_Medicine_Woman.lua	+ Converted	CONFIRMED
sandoria	BLACK_TIGER_SKINS	31	31	Black Tiger Skins	Black Tiger Skins	scripts/quests/sandoria/Black_Tiger_Skins.lua	+ Converted	CONFIRMED
sandoria	GROWING_FLOWERS	58	58	Growing Flowers	Growing Flowers	scripts/quests/sandoria/Growing_Flowers.lua	+ Converted	CONFIRMED
sandoria	TRIAL_BY_ICE	59	59	Trial by Ice	Trial by Ice	scripts/zones/Northern_San_dOria/npcs/Gulmama.lua	+	CONFIRMED
sandoria	THE_GENERALS_SECRET	60	60	The General's Secret	The General's Secret	scripts/quests/sandoria/The_Generals_Secret.lua	+ Converted	CONFIRMED
sandoria	THE_RUMOR	61	61	The Rumor	The Rumor	scripts/quests/sandoria/The_Rumor.lua	+ Converted	CONFIRMED
sandoria	HER_MAJESTYS_GARDEN	62	62	Her Majesty's Garden	Her Majesty's Garden	scripts/quests/sandoria/Her_Majestys_Garden.lua	+ Converted	CONFIRMED
sandoria	INTRODUCTION_TO_TEAMWORK	63	63	Introduction to Teamwork	Introduction to Teamwork	scripts/quests/sandoria/Introduction_to_Teamwork.lua	+ Converted	CONFIRMED
sandoria	INTERMEDIATE_TEAMWORK	64	64	Intermediate Teamwork	Intermediate Teamwork	scripts/quests/sandoria/Intermediate_Teamwork.lua	+ Converted	CONFIRMED
sandoria	ADVANCED_TEAMWORK	65	65	Advanced Teamwork	Advanced Teamwork	scripts/quests/sandoria/Advanced_Teamwork.lua	+ Converted	CONFIRMED
sandoria	GRIMY_SIGNPOSTS	66	66	Grimy Signposts	Grimy Signposts	scripts/quests/sandoria/Grimy_Signposts.lua	+ Converted	CONFIRMED
sandoria	A_JOB_FOR_THE_CONSORTIUM	67	67	A Job for the Consortium	A Job for the Consortium	scripts/quests/sandoria/A_Job_for_the_Consortium.lua	+ Converted	CONFIRMED
sandoria	TROUBLE_AT_THE_SLUICE	68	68	Trouble at the Sluice	Trouble at the Sluice	scripts/quests/sandoria/Trouble_at_the_Sluice.lua	+ Converted	CONFIRMED
sandoria	THE_MERCHANTS_BIDDING	69	69	The Merchant's Bidding	The Merchant's Bidding	scripts/quests/sandoria/The_Merchants_Bidding.lua	+ Converted	CONFIRMED
sandoria	UNEXPECTED_TREASURE	70	70	Unexpected Treasure	Unexpected Treasure	scripts/quests/sandoria/Unexpected_Treasure.lua	+ Converted	UNVERIFIED
sandoria	BLACKMAIL	71	71	Blackmail	Blackmail	scripts/quests/sandoria/Blackmail.lua	+ Converted	CONFIRMED
sandoria	THE_SETTING_SUN	72	72	The Setting Sun	The Setting Sun	scripts/quests/sandoria/The_Setting_Sun.lua	+ Converted	CONFIRMED
sandoria	DISTANT_LOYALTIES	74	74	Distant Loyalties	Distant Loyalties	scripts/quests/sandoria/Distant_Loyalties.lua	+ Converted	CONFIRMED
sandoria	THE_RIVALRY	75	75	The Rivalry		scripts/quests/sandoria/The_Rivalry.lua	+ Converted	CONFIRMED
sandoria	THE_COMPETITION	76	76	The Competition		scripts/quests/sandoria/The_Competition.lua	+ Converted	CONFIRMED
sandoria	STARTING_A_FLAME	77	77	Starting a Flame	Starting a Flame	scripts/quests/sandoria/Starting_a_Flame.lua	+ Converted	CONFIRMED
sandoria	FEAR_OF_THE_DARK	78	78	Fear of the Dark	Fear of the Dark	scripts/quests/sandoria/Fear_of_the_Dark.lua	+ Converted	CONFIRMED
sandoria	WARDING_VAMPIRES	79	79	Warding Vampires	Warding Vampires	scripts/quests/sandoria/Warding_Vampires.lua	+ Converted	CONFIRMED
sandoria	SLEEPLESS_NIGHTS	80	80	Sleepless Nights	Sleepless Nights	scripts/quests/sandoria/Sleepless_Nights.lua	+ Converted	CONFIRMED
sandoria	LUFETS_LAKE_SALT	81	81	Lufet's Lake Salt	Lufet's Lake Salt	scripts/quests/sandoria/Lufets_Lake_Salt.lua	+ Converted	CONFIRMED
sandoria	HEALING_THE_LAND	82	82	Healing the Land	Healing the Land	scripts/quests/sandoria/Healing_the_Land.lua	+ Converted	CONFIRMED
sandoria	SORCERY_OF_THE_NORTH	83	83	Sorcery of the North	Sorcery of the North	scripts/quests/sandoria/Sorcery_of_the_North.lua	+ Converted	CONFIRMED
sandoria	THE_CRIMSON_TRIAL	84	84	The Crimson Trial	The Crimson Trial	scripts/quests/sandoria/RDM_AF1_The_Crimson_Trial.lua	+ Converted	CONFIRMED
sandoria	ENVELOPED_IN_DARKNESS	85	85	Enveloped in Darkness	Enveloped in Darkness	scripts/quests/sandoria/RDM_AF2_Enveloped_in_Darkness.lua	+ Converted	CONFIRMED
sandoria	PEACE_FOR_THE_SPIRIT	86	86	Peace for the Spirit	Peace for the Spirit	scripts/zones/FeiYin/npcs/Dry_Fountain.lua	+	UNVERIFIED
sandoria	MESSENGER_FROM_BEYOND	87	87	Messenger from Beyond	Messenger from Beyond	scripts/quests/sandoria/Messenger_From_Beyond.lua	+ Converted	CONFIRMED
sandoria	PRELUDE_OF_BLACK_AND_WHITE	88	88	Prelude of Black and White	Prelude of Black and White	scripts/quests/sandoria/Prelude_of_Black_and_White.lua	+ Converted	CONFIRMED
sandoria	PIEUJES_DECISION	89	89	Pieuje's Decision	Pieuje's Decision	scripts/zones/Chateau_dOraguille/npcs/_6h1.lua	+	CONFIRMED
sandoria	SHARPENING_THE_SWORD	90	90	Sharpening the Sword	Sharpening the Sword	scripts/quests/sandoria/Sharpening_the_Sword.lua	+ Converted	CONFIRMED
sandoria	A_BOYS_DREAM	91	91	A Boy's Dream	A Boy's Dream	scripts/zones/Crawlers_Nest/npcs/qm9.lua	+	CONFIRMED
sandoria	UNDER_OATH	92	92	Under Oath	Under Oath	scripts/zones/Southern_San_dOria/npcs/Vemalpeau.lua	+	CONFIRMED
