log_area	enum_name	result	note
bastok	THE_SIRENS_TEAR	CONFIRMED
bastok	BEAUTY_AND_THE_GALKA	CONFIRMED
bastok	WELCOME_TO_BASTOK	CONFIRMED
bastok	GUEST_OF_HAUTEUR	CONFIRMED	header comment on line 2 reads "Welcome to Bastok"
bastok	THE_QUADAVS_CURSE	CONFIRMED
bastok	OUT_OF_ONES_SHELL	CONFIRMED
bastok	HEARTS_OF_MYTHRIL	CONFIRMED
bastok	THE_ELEVENTHS_HOUR	CONFIRMED
bastok	SHADY_BUSINESS	CONFIRMED
bastok	A_FOREMANS_BEST_FRIEND	CONFIRMED
bastok	BREAKING_STONES	CONFIRMED
bastok	THE_COLD_LIGHT_OF_DAY	CONFIRMED
bastok	GOURMET	CONFIRMED
bastok	THE_ELVAAN_GOLDSMITH	CONFIRMED
bastok	A_FLASH_IN_THE_PAN	CONFIRMED
bastok	SMOKE_ON_THE_MOUNTAIN	CONFIRMED	header comment on line 2 reads "Shady Business"
bastok	STAMP_HUNT	CONFIRMED
bastok	FOREVER_TO_HOLD	CONFIRMED
bastok	TILL_DEATH_DO_US_PART	CONFIRMED
bastok	FALLEN_COMRADES	CONFIRMED
bastok	RIVALS	CONFIRMED
bastok	MOM_THE_ADVENTURER	CONFIRMED
bastok	THE_SIGNPOST_MARKS_THE_SPOT	CONFIRMED
bastok	PAST_PERFECT	CONFIRMED
bastok	STARDUST	CONFIRMED
bastok	MEAN_MACHINE	CONFIRMED
bastok	CIDS_SECRET	CONFIRMED
bastok	THE_USUAL	CONFIRMED
bastok	BLADE_OF_DARKNESS	CONFIRMED	carries its own TODO verification note; DRK unlock gated on ChaosbringerKills >= 100
bastok	FATHER_FIGURE	CONFIRMED
bastok	THE_RETURN_OF_THE_ADVENTURER	CONFIRMED
bastok	DRACHENFALL	CONFIRMED
bastok	VENGEFUL_WRATH	CONFIRMED
bastok	BEADEAUX_SMOG	CONFIRMED	uses xi.keyItem, the primary table; xi.ki is the alias, so this is correct
bastok	THE_CURSE_COLLECTOR	CONFIRMED
bastok	FEAR_OF_FLYING	CONFIRMED
bastok	THE_WISDOM_OF_ELDERS	CONFIRMED
bastok	GROCERIES	CONFIRMED
bastok	THE_BARE_BONES	CONFIRMED
bastok	MINESWEEPER	CONFIRMED
bastok	THE_DARKSMITH	CONFIRMED
bastok	BUCKETS_OF_GOLD	CONFIRMED
bastok	THE_STARS_OF_IFRIT	CONFIRMED	
bastok	LOVE_AND_ICE	CONFIRMED	
bastok	BRYGID_THE_STYLIST	CONFIRMED	
bastok	THE_GUSTABERG_TOUR	CONFIRMED	
bastok	BITE_THE_DUST	CONFIRMED	
bastok	BLADE_OF_DEATH	CONFIRMED	
bastok	SILENCE_OF_THE_RAMS	CONFIRMED	fameArea corrected to NORG per wiki; gates on NORG fame
bastok	ALTANAS_SORROW	CONFIRMED	Virnage onTrigger uses raw player:startEvent instead of quest:event; works but bypasses framework priority
bastok	A_LADYS_HEART	CONFIRMED	
bastok	GHOSTS_OF_THE_PAST	CONFIRMED	
bastok	THE_FIRST_MEETING	CONFIRMED	
bastok	TRUE_STRENGTH	CONFIRMED	
bastok	THE_DOORMAN	CONFIRMED	
bastok	THE_TALEKEEPERS_TRUTH	CONFIRMED	
bastok	THE_TALEKEEPERS_GIFT	CONFIRMED	
bastok	DARK_LEGACY	CONFIRMED	
bastok	DARK_PUPPET	CONFIRMED	
bastok	BLADE_OF_EVIL	CONFIRMED	
bastok	AYAME_AND_KAEDE	CONFIRMED	
bastok	TRIAL_BY_EARTH	CONFIRMED	
bastok	A_TEST_OF_TRUE_LOVE	CONFIRMED	
bastok	LOVERS_IN_THE_DUSK	CONFIRMED	
bastok	WISH_UPON_A_STAR	CONFIRMED	
